advertiser_id,name,name_de,category,source_category,description,type,custom_type,latitude,longitude,street_address,postal_code,city,price_chf,opening_hours,num_photos,source,data_source,raw_categories,budget_tier,base_bid,bid_amount,target_segments,weather_preference,quality_score,advertiser_idx
ZH_1012365,Mama Shelter,Mama Shelter,Accommodation,hotels,"A fresh hotspot in Zurich’s Oerlikon district: designer rooms, a rooftop garden, a delicious menu, and event spaces. ",Hotel,Hotel,47.410819,8.543954,Schulstrasse 44,8050,Zürich,,,7,real_zurich,Zurich Tourism JSON,Hotels,medium,6.0,5.69889628523367,"Luxury Leisure, Business Traveler",any,0.7,0
ZH_1011732,The Home Hotel,The Home Hotel,Accommodation,hotels,"This urban hideaway in Sihlcity, with Dada-style design and creative flair, is ideally located as as a departure point for a variety of leisure activities.",Hotel,Hotel,47.359163,8.523016,Kalandergasse 1,8045,Zürich,,,7,real_zurich,Zurich Tourism JSON,Hotels,medium,6.0,7.081714335383799,"Luxury Leisure, Business Traveler",any,0.7,1
ZH_1011468,Mandarin Oriental Savoy,Mandarin Oriental Savoy,Accommodation,hotels,This 5-star hotel on Paradeplatz blends modern design with timeless elegance.,Hotel,Hotel,47.369733,8.539786,Poststrasse 12,8001,Zürich,,,4,real_zurich,Zurich Tourism JSON,Hotels,medium,6.0,6.556785460347372,"Luxury Leisure, Business Traveler",any,0.7,2
ZH_1011431,Locke am Platz,Locke am Platz,Accommodation,hotels,"This hotel with a difference is located in Zurich’s Enge quarter, surrounded by idyllic parks, green recreational areas, magnificent villas, and the cool blue waters of Lake Zurich.",LodgingBusiness,LodgingBusiness,47.363861,8.532296,Tessinerplatz 9,8002,Zürich,,,3,real_zurich,Zurich Tourism JSON,"Hotels, Apartments",medium,6.0,6.2367803620728886,"Luxury Leisure, Business Traveler",any,0.7,3
ZH_1011414,Prize by Radisson Affoltern am Albis,Prize by Radisson Affoltern am Albis,Accommodation,hotels,"A total of 102 comfortable rooms, a prime location, and numerous amenities are just some of the highlights on offer at this hotel.",Hotel,Hotel,47.274583,8.444066,Obstgartenstrasse 7,8910,Affoltern am Albis,,,7,real_zurich,Zurich Tourism JSON,"Accommodation, Hotels",medium,6.0,5.174444737061848,"Luxury Leisure, Business Traveler",any,0.7,4
ZH_1010777,Pension Kafischnaps,Pension Kafischnaps,Accommodation,hotels,"The Pension Kafischnaps is located in the heart of Zurich, between the Wipkingen and Unterstrass quarters and just a few minutes from Langstrasse.",Hotel,Hotel,47.391184,8.535999,Kornhausstrasse 57,8037,Zürich,,,6,real_zurich,Zurich Tourism JSON,Hotels,medium,6.0,5.174386848806886,"Luxury Leisure, Business Traveler",any,0.7,5
ZH_1010771,Alma Hotel,Alma Hotel,Accommodation,hotels,"Originally launched under the name of Lady's First, the Alma Hotel now sports a new design yet still upholds its old values.",Hotel,Hotel,47.360394,8.549921,Mainaustrasse 24,8008,Zurich,,,8,real_zurich,Zurich Tourism JSON,Hotels,medium,6.0,4.939400669203678,"Luxury Leisure, Business Traveler",any,0.7,6
ZH_1010707,FIVE Zurich,FIVE Zürich,Accommodation,hotels,"Situated high above Zurich, with a view over the city, the lifestyle hotel invites guests to enjoy an unforgettable stay with a unique concept.",Hotel,Hotel,47.36309,8.495577,Döltschiweg 234,8055,Zürich,,,14,real_zurich,Zurich Tourism JSON,Hotels,medium,6.0,6.878822749859845,"Luxury Leisure, Business Traveler",any,0.7,7
ZH_1010679,MOOI Apartments Schlieren,MOOI Apartments Schlieren,Accommodation,hotels,For a temporary home away from home or if you want to feel at home even when you are on a city trip – the serviced apartments in Schlieren meet all your needs.,Hotel,Hotel,47.397527,8.464688,Zürcherstrasse 133,8952,Schlieren,,,6,real_zurich,Zurich Tourism JSON,Hotels,medium,6.0,6.2426760281837,"Luxury Leisure, Business Traveler",any,0.7,8
ZH_1010613,Hotel Jakob Rapperswil,Hotel Jakob Rapperswil,Accommodation,hotels,This hotel in the Old Town of Rapperswil has been welcoming guests since 1830.,Hotel,Hotel,47.226851,8.816503,Hauptplatz 11,8640,Rapperswil,,,5,real_zurich,Zurich Tourism JSON,Hotels,medium,6.0,6.49937418671051,"Luxury Leisure, Business Traveler",any,0.7,9
